id,name,coordinates,zip_code,industry_type,general_industry
-DDFdGfQ0rfr4zONPkUMRg,A2Z Movement,"39.299392, -76.612298",21202,"""Business Consulting""",Professional Services
PLK4HtrrSOGwO3W1z-JXDA,Nights Over Egypt,"39.302120, -76.615520",21202,"""Alternative Medicine"", ""Massage""",Health & Wellness
YP9Ty33K6wRKK2RotvRCmQ,The Professional Credit Diva,"39.295780, -76.622330",21201,"""Debt Relief Services"", ""Business Consulting""",Professional Services
5cUT1uPR5EWoD7zS3e1YOw,Harmony Therapeutic Massage,"39.277210, -76.614160",21230,"""Massage Therapy"", ""Reflexology""",Personal Care
pum7l5bHbuULEV3fGzLecA,Style My Smile,"39.288060, -76.648041",21223,"""Cosmetic Dentists"", ""Teeth Whitening""",Health & Wellness
D9rnDvi5hkRTv5xaGdFePw,Charmcityscartel Photography,"39.292830, -76.607340",21202,"""Real Estate Photography"", ""Event Photography"", ""Session Photography""",Professional Services
PktNcaxWYEh9FXpLQ9LqZw,Clean With Charlene,"39.320543, -76.592469",21218,"""Office Cleaning"", ""Home Cleaning""",Professional Services
uiMVFk0q9YHD_avH2QOzWg,Royalty Venue,"39.291040, -76.644100",21223,"""Venues & Event Spaces"", ""Party Equipment Rentals""",Entertainment & Recreation
eu8pK_RnIIwcWgVOIDuCcQ,The Vegan's Choice - Virtual Brand,"39.317080, -76.654690",21215,"""Vegan"", ""Food Delivery Services"", ""Gluten-Free""",Food & Dining
fCzs-n49aRM8usSRrh8RdQ,O's Mobile Auto Repair Service,"39.295780, -76.622330",21201,"""Tires"", ""Windshield Installation & Repair"", ""Auto Repair""",Automotive Services
HQsWhUSjJ4cTLbfq5QP-Og,J Starks Painting & Design,"39.291270, -76.604520",21203,"""Painters""",Other
6FQcLjjFumm8JN17jygoRA,BeezWax Beauty,"39.313780, -76.617110",21218,"""Hair Removal"", ""Skin Care""",Personal Care
oa0ZA3jmmHQ32WdiTkmCFw,Terra Cafe,"39.317729, -76.615094",21218,"""Cafes""",Food & Dining
who2sdZYxbVm9mtoBVMQrA,E.C.E. Talent Agency,"39.287920, -76.615503",21201,"""Talent Agencies""",Professional Services
fv5iQiIzxJ_-vqMcyZnc9Q,Sourc Her Studio,"39.324621, -76.629898",21211,"""Session Photography""",Professional Services
XbBWE6-qADKu0618bR8I6w,Barksdale Beautification Services,"39.275219, -76.611847",21230,"""Movers"", ""Junk Removal & Hauling"", ""Snow Removal""",Construction & Home Improvement
WA_T3pYJ5apkYkQtp_d4Fw,Hearts & Ears,"39.296880, -76.617970",21201,"""Community Service/Non-Profit""",Entertainment & Recreation
_B6q8TLNWuRBpCDP_HP0gg,B N T Mobile Auto Rep,"39.308161, -76.638577",21217,"""Auto Repair""",Automotive Services
_W9aS8UudnmT3wB6kZ3TUQ,Digital Factory,"39.288790, -76.607970",21202,"""Art Space Rentals"", ""Session Photography""",Personal Care
EX92eXQZv8v1dw4SGrHznQ,Tutor Your Problem,"39.295780, -76.622330",21201,"""Tutoring Centers""",Education & Training
t4y4dkkFV_VLynsLr8Cs5A,Makeup by Monroe,"39.329965, -76.602685",21218,"""Makeup Artists""",Personal Care
7APtBDSQzJPj7oNH5qPk5g,Tohi Hauling & Transport,"39.286727, -76.639602",21223,"""Junk Removal & Hauling""",Construction & Home Improvement
xxolDw2GMaiN6ayRPDqUGA,DNS Technology Group,"39.326742, -76.609658",21218,"""IT Services & Computer Repair""",Professional Services
QAGRz7a3IBzRKBCuVCVQIw,Laced With Becky,"39.283665, -76.592807",21231,"""Hair Extensions""",Personal Care
ua7INwKYmmrya9SXMv7sbw,Che Yoga,"39.322745, -76.600657",21218,"""Yoga"", ""Alternative Medicine""",Health & Wellness
